iter	Logloss
287	0.4722152953
288	0.4721130584
289	0.4719645495
290	0.471919174
291	0.4718371011
292	0.4716821508
293	0.471561108
294	0.4714541041
295	0.4713458529
296	0.4712296442
297	0.4710759466
298	0.4710500485
299	0.4709321709
300	0.470777629
301	0.470628747
302	0.4705245148
303	0.4704655124
304	0.4703370732
305	0.4702591914
306	0.4701623322
307	0.470055283
308	0.4699250707
309	0.4697992266
310	0.4696842167
311	0.4696254101
312	0.469556082
313	0.4695033416
314	0.4693434308
315	0.4691584147
316	0.4690543436
317	0.4689680069
318	0.4688444365
319	0.4687851388
320	0.4687282828
321	0.4686416731
322	0.4685289726
323	0.4683831659
324	0.4683121104
325	0.4681527025
326	0.4680041482
327	0.4678927402
328	0.4678185932
329	0.4677430863
330	0.4676224159
331	0.4675133567
332	0.4674129514
333	0.4672928038
334	0.4671581275
335	0.4670137504
336	0.4668836893
337	0.4667977527
338	0.4666492646
339	0.4665309614
340	0.4664247435
341	0.4662932838
342	0.4662105425
343	0.4661107292
344	0.4658608081
345	0.465724256
346	0.465629538
347	0.4655315958
348	0.4654172306
349	0.4653019718
350	0.4651569214
351	0.4650494709
352	0.4649596874
353	0.4648296929
354	0.4647506817
355	0.464629795
356	0.464540815
357	0.464485171
358	0.4643704922
359	0.4642261466
360	0.4640906038
361	0.4639361567
362	0.4637795486
363	0.4636989399
364	0.4635004996
365	0.4633561748
366	0.4632880214
367	0.4631937383
368	0.4630750904
369	0.4629553445
370	0.4627890641
371	0.4625448413
372	0.4624456668
373	0.46234215
374	0.4622193322
375	0.4621180579
376	0.4620337357
377	0.4619310396
378	0.4618561448
379	0.461754984
380	0.4616357351
381	0.4615500069
382	0.4614472874
383	0.461373437
384	0.461275484
385	0.4611944502
386	0.4610326793
387	0.4609743288
388	0.4608864173
389	0.4607217831
390	0.4606338817
391	0.4605087004
392	0.460422422
393	0.4603263623
394	0.4602424794
395	0.4600937201
396	0.4599887741
397	0.4599041389
398	0.4597551258
399	0.459603225
400	0.4594827362
401	0.4593678033
402	0.4592908894
403	0.4591531828
404	0.4590347167
405	0.4589434516
406	0.4588607813
407	0.4587851127
408	0.4586854681
409	0.458603099
410	0.458441349
411	0.4583481112
412	0.4582025853
413	0.4581038529
414	0.458023976
415	0.4579373351
416	0.4578446447
417	0.4577311987
418	0.4575896349
419	0.4575128161
420	0.4574075106
421	0.4573074256
422	0.457180476
423	0.4570736598
424	0.456998877
425	0.4567605819
426	0.4566170877
427	0.4565361463
428	0.4564451001
429	0.4563470496
430	0.4562640055
431	0.4561810461
432	0.4560778033
433	0.4560121252
434	0.4559187962
435	0.4558063254
436	0.4557366712
437	0.4556403419
438	0.45554669
439	0.4554439577
440	0.4553382307
441	0.4552726601
442	0.455196308
443	0.4551050392
444	0.4550234428
445	0.4549430809
446	0.4548421265
447	0.4547145077
448	0.4545986886
449	0.4544558064
450	0.454368283
451	0.4542904474
452	0.4541776541
453	0.4540785233
454	0.4540112922
455	0.4539456492
456	0.4538375107
457	0.4537388147
458	0.4535854202
459	0.4535117999
460	0.4533927207
461	0.4532786688
462	0.4531689053
463	0.4530763193
464	0.4529999212
465	0.4528985573
466	0.4528148465
467	0.4527323659
468	0.4526616128
469	0.4525496198
470	0.4524532745
471	0.4523723225
472	0.4522877029
473	0.4522065165
474	0.4521480342
475	0.4520682847
476	0.4519435057
477	0.4517364673
478	0.4516521272
479	0.4515350964
480	0.4514437215
481	0.451370113
482	0.4513052738
483	0.451205606
484	0.4511372176
485	0.450994111
486	0.450906975
487	0.4508387234
488	0.4507674254
489	0.4506715675
490	0.4505842626
491	0.4504938215
492	0.450393273
493	0.4502577864
494	0.4501566575
495	0.4500454762
496	0.4499327158
497	0.449823294
498	0.4497169271
499	0.4496373247
500	0.4495583579
501	0.4494854482
502	0.44935327
503	0.4492905675
504	0.4491981935
505	0.4491025758
506	0.4489958338
507	0.4489036978
508	0.4487972458
509	0.4487154803
510	0.4486331474
511	0.4484894985
512	0.4484284324
513	0.4483379486
514	0.4482699921
515	0.4481279342
516	0.4480476102
517	0.447988142
518	0.4478898783
519	0.4477831842
520	0.4476857764
521	0.4476055765
522	0.4475205633
523	0.4474251266
524	0.4473338355
525	0.4472706447
526	0.4471366098
527	0.4470445536
528	0.4469389505
529	0.4468558969
530	0.4467815157
531	0.4466645564
532	0.4465707392
533	0.4464810516
534	0.4464124128
535	0.446330416
536	0.4462568404
537	0.4461623777
538	0.4460823395
539	0.4460054606
540	0.4459281565
541	0.4458607007
542	0.4457711088
543	0.4456599524
544	0.4455163143
545	0.4454113253
546	0.4453223137
547	0.4452134026
548	0.4450552678
549	0.4449558746
550	0.4448237131
551	0.4447302541
552	0.4445884528
553	0.4445227142
554	0.444453827
555	0.4443589375
556	0.4442911863
557	0.4441620799
558	0.4441069114
559	0.444042165
560	0.4438610227
561	0.4437905101
562	0.4436423309
563	0.4435519817
564	0.4434292959
565	0.4433553574
566	0.443258071
567	0.4432048428
568	0.4431410807
569	0.4430398262
570	0.4429389564
571	0.4428441693
572	0.4427667017
573	0.4426506522
574	0.4425281881
575	0.4424335658
576	0.4423657423
577	0.4423063788
578	0.4422543605
579	0.4421896972
580	0.4421319838
581	0.4420424486
582	0.4419659552
583	0.4418802528
584	0.4417957201
585	0.441687724
586	0.4416013417
587	0.4415533735
588	0.4414935731
589	0.4413965516
590	0.4413154
591	0.4411953372
592	0.4411114687
593	0.4410369549
594	0.4409442104
595	0.440843766
596	0.4407438734
597	0.4406645162
598	0.4405931706
599	0.4405155531
600	0.4404311756
601	0.4403402251
602	0.4402791466
603	0.4402039189
604	0.4401102726
605	0.4399279973
606	0.4398375086
607	0.4397780888
608	0.4396546426
609	0.4395193717
610	0.4394104974
611	0.4393186538
612	0.4391807723
613	0.4390720588
614	0.4389632907
615	0.4388907387
616	0.4388096478
617	0.4387560994
618	0.4386727525
619	0.4386033992
620	0.4385458369
621	0.4384745099
622	0.4384024819
623	0.438296073
624	0.4382415102
625	0.4381465182
626	0.438075687
627	0.4379937761
628	0.4378918007
629	0.4378107308
630	0.4377471136
631	0.4376766019
632	0.4375504441
633	0.4374509368
634	0.4373689986
635	0.4372704324
636	0.4372163016
637	0.4371132365
638	0.4370263232
639	0.4369220936
640	0.4368383381
641	0.4367798962
642	0.4366964417
643	0.4365981134
644	0.4364616102
645	0.436363439
646	0.4362707576
647	0.4361777365
648	0.4361314249
649	0.4360487489
650	0.4359167371
651	0.435824455
652	0.4357537498
653	0.4356981175
654	0.4356274186
655	0.4355600363
656	0.4354841755
657	0.4354108248
658	0.4352989335
659	0.435208519
660	0.4351100632
661	0.435014982
662	0.4348869423
663	0.4348058852
664	0.4346423073
665	0.4345629432
666	0.4344777982
667	0.4343856115
668	0.434332414
669	0.4342345147
670	0.4341420569
671	0.4340523663
672	0.433968814
673	0.4338675178
674	0.4337898205
675	0.433724244
676	0.4336397629
677	0.4335737901
678	0.4334981753
679	0.433415203
680	0.4333434614
681	0.4332891195
682	0.4332208214
683	0.4331760133
684	0.4330916737
685	0.4330079993
686	0.4329452889
687	0.4328282552
688	0.4327519498
689	0.432661183
690	0.4325814678
691	0.4325066998
692	0.4324635527
693	0.432406374
694	0.4323262349
695	0.4322470541
696	0.4321968603
697	0.4321057105
698	0.4320329787
699	0.4319467713
700	0.4318196792
701	0.4317519072
702	0.4316367948
703	0.4315911148
704	0.4315345982
705	0.4313868124
706	0.4312914106
707	0.4311975385
708	0.4311057315
709	0.4310103775
710	0.430914419
711	0.4308171371
712	0.4307436541
713	0.430665368
714	0.4305323788
715	0.4304402757
716	0.4303687481
717	0.4303181627
718	0.4302277018
719	0.4301562558
720	0.4300895736
721	0.4300203387
722	0.4299251727
723	0.429800475
724	0.4297606691
725	0.4296684964
726	0.4295723565
727	0.4294896218
728	0.4293639459
729	0.4293002682
730	0.4292386447
731	0.4291523622
732	0.4290821396
733	0.4289614912
734	0.4288564964
735	0.4287985361
736	0.428728311
737	0.4286112314
738	0.4285364981
739	0.4284348868
740	0.4283198688
741	0.4282421317
742	0.4281361418
743	0.4280519879
744	0.4279601972
745	0.4278781363
746	0.4277437085
747	0.4276433617
748	0.4275638706
749	0.427485673
750	0.4274032662
751	0.4273151598
752	0.4272175154
753	0.4271331946
754	0.4270419674
755	0.4269919561
756	0.4269094133
757	0.4267894345
758	0.4267259201
759	0.426639107
760	0.4265778544
761	0.4264855988
762	0.4264353306
763	0.4263851699
764	0.4263389065
765	0.4262683524
766	0.4262206975
767	0.4261489508
768	0.4260659957
769	0.4259599162
770	0.4258832977
771	0.4258254095
772	0.4257378674
773	0.4256436979
774	0.4255569264
775	0.4254342256
776	0.4253727179
777	0.4252503897
778	0.4251750685
779	0.4251005977
780	0.4250293461
781	0.4249520954
782	0.4249062558
783	0.4248122049
784	0.4247649434
785	0.424689069
786	0.4246088521
787	0.4245454907
788	0.4244642691
789	0.4243946833
790	0.4243544772
791	0.424288701
792	0.4242169172
793	0.4241416858
794	0.4241011156
795	0.4240298476
796	0.4239126005
797	0.423840525
798	0.4237513296
799	0.4236715363
800	0.4235839693
801	0.4234997415
802	0.4234366183
803	0.4233347227
804	0.4232580556
805	0.4231881985
806	0.4231112728
807	0.4230335352
808	0.4229520405
809	0.4228621982
810	0.4227644326
811	0.4226909494
812	0.422594212
813	0.4225148709
814	0.4224340959
815	0.422377694
816	0.4222752364
817	0.4222158355
818	0.4221559257
819	0.4220392877
820	0.4219849095
821	0.4218940874
822	0.4218270676
823	0.4217327719
824	0.4216479961
825	0.4216097321
826	0.4215483479
827	0.421477533
828	0.4213753303
829	0.4212841271
830	0.4211981109
831	0.4211192086
832	0.4210539431
833	0.4209700017
834	0.4208739186
835	0.420823268
836	0.4207105461
837	0.4206404898
838	0.4205622049
839	0.4204936743
840	0.4204226879
841	0.4203418229
842	0.4202717465
843	0.4202315353
844	0.4201439547
845	0.4200829602
846	0.4200033103
847	0.4199192389
848	0.4198150747
849	0.4197574361
850	0.4196699713
851	0.4195667237
852	0.419489117
853	0.4194135556
854	0.4193152136
855	0.4192520838
856	0.4191948837
857	0.4190881723
858	0.4190130746
859	0.4189157222
860	0.4188448429
861	0.4187575491
862	0.4186846124
863	0.4186019166
864	0.4185384786
865	0.4184783679
866	0.4184142468
867	0.418349725
868	0.418307346
869	0.4182445667
870	0.4181462583
871	0.4180651814
872	0.4180076843
873	0.4179030651
874	0.4178202659
875	0.4177296773
876	0.4176542736
877	0.4175756719
878	0.4174937048
879	0.4174244619
880	0.4173320689
881	0.4172270637
882	0.4171910094
883	0.417072682
884	0.416923264
885	0.416844282
886	0.4167510243
887	0.4166997538
888	0.4166129594
889	0.4164719523
890	0.4164069196
891	0.4163507839
892	0.4162878986
893	0.4162238488
894	0.416157818
895	0.41608064
896	0.4160065562
897	0.4159075601
898	0.4158380667
899	0.4157559802
900	0.415685233
901	0.4156296884
902	0.4155707886
903	0.415503554
904	0.4154523845
905	0.415341124
906	0.4152772343
907	0.4151792878
908	0.415097561
909	0.4150191935
910	0.4149522122
911	0.4148993935
912	0.4148371178
913	0.4147709431
914	0.4146575808
915	0.4145781107
916	0.4145101478
917	0.4144568939
918	0.4143979574
919	0.414292681
920	0.4142129703
921	0.4141444341
922	0.4140903027
923	0.414027444
924	0.4139628018
925	0.413903212
926	0.4138090882
927	0.4137176469
928	0.4136096908
929	0.4135600386
930	0.4134798232
931	0.4134235231
932	0.4133409272
933	0.4132522232
934	0.413183152
935	0.4130773366
936	0.4130353247
937	0.4129629934
938	0.4128512825
939	0.4127969737
940	0.4127050289
941	0.4126472581
942	0.4125751174
943	0.4124992355
944	0.4124068421
945	0.4122922735
946	0.4121738826
947	0.4121106498
948	0.4120062909
949	0.4119403836
950	0.4118552018
951	0.4117900614
952	0.4117152894
953	0.4116638325
954	0.4115875105
955	0.411528029
956	0.4114434158
957	0.4113282451
958	0.4112527181
959	0.4111872247
960	0.4110954304
961	0.4110200133
962	0.4109752281
963	0.4109102208
964	0.4108488145
965	0.4107160025
966	0.4106633528
967	0.4105573826
968	0.4104860093
969	0.4104200666
970	0.4103451102
971	0.4102498643
972	0.4101928078
973	0.410102239
974	0.4100208488
975	0.409946369
976	0.4098699893
977	0.409816374
978	0.4097591919
979	0.409679111
980	0.4096040517
981	0.4095346989
982	0.4094505528
983	0.409353999
984	0.4092634694
985	0.4091939515
986	0.4091599577
987	0.4091133138
988	0.4090354442
989	0.408956577
990	0.4089020587
991	0.4088299129
992	0.4087583238
993	0.4086808544
994	0.4086217451
995	0.4085679859
996	0.4085005006
997	0.4084315373
998	0.4083955539
999	0.4083270794
